Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Opposition
U-15,Start,Dribble,0,50,24,9,5,34,Westchester
U-15,Middle,Pass,0,50,5,37,-,-,Westchester
U-15,End,Direct Play,0,50,5,41,-,-,Westchester
U-15,Start,Pass,0,50,32,27,27,29,Westchester
U-15,Middle,Pass,0,50,23,31,27,34,Westchester
U-15,Middle,Pass,0,50,24,37,13,63,Westchester
U-15,End,Counterpress,0,50,13,62,-,-,Westchester
Westchester,Start,Pass,0,0,82,45,76,52,Westchester
Westchester,End,Counterpress,0,0,77,54,-,-,Westchester
U-15,Start,Dribble,0,0,13,17,4,23,Westchester
U-15,Middle,Pass,0,0,3,21,7,38,Westchester
U-15,Middle,Pass,0,0,7,38,6,62,Westchester
U-15,End,Sustained Possesion,0,0,6,65,-,-,Westchester
U-15,Solo,Dribble,0,0,35,25,8,35,Westchester
U-15,End,Counterpress,0,0,7,38,-,-,Westchester
U-15,Start,Pass,0,0,40,53,32,60,Westchester
U-15,Middle,Pass,0,0,32,61,9,66,Westchester
U-15,End,Counter attack,0,0,10,62,-,-,Westchester
Westchester,Solo,Counterpress,0,0,88,40,-,-,Westchester
