Team,Player,Event,X,Y,X2,Y2,Opposition,Bolts Team,Category,Sequence_ID
U13,Start,Pass,58,58,51.0,67.0,Downtown United,U13,"Direct Play, Counterattack",1
U13,Middle,Pass,51,67,45.0,43.0,Downtown United,U13,"Direct Play, Counterattack",1
U13,Middle,Pass,45,43,29.0,26.0,Downtown United,U13,"Direct Play, Counterattack",1
U13,Middle,Dribble,29,26,5.0,26.0,Downtown United,U13,"Direct Play, Counterattack",1
U13,Middle,Pass,5,26,6.0,54.0,Downtown United,U13,"Direct Play, Counterattack",1
U13,End,Counterattack,6,54,6.0,54.0,Downtown United,U13,"Direct Play, Counterattack",1
U13,End,Direct Play,6,54,,,Downtown United,U13,Direct Play,1
U13,Start,Dribble,19,8,9.0,19.0,Downtown United,U13,"Counterpress, Cutback",2
U13,Middle,Pass,9,19,14.0,52.0,Downtown United,U13,"Counterpress, Cutback",2
U13,End,Counterpress,14,52,13.0,52.0,Downtown United,U13,"Counterpress, Cutback",2
U13,End,Cutback,13,52,,,Downtown United,U13,Cutback,2
U13,Start,Pass,45,34,55.0,48.0,Seacoast,U13,Direct Play,3
U13,Middle,Pass,55,48,87.0,72.0,Seacoast,U13,Direct Play,3
U13,Middle,Pass,87,72,93.0,43.0,Seacoast,U13,Direct Play,3
U13,End,Direct Play,93,43,,,Seacoast,U13,Direct Play,3
U13,Start,Dribble,50,50,45.0,40.0,Seacoast,U13,Direct Play,4
U13,Middle,Pass,45,40,30.0,17.0,Seacoast,U13,Direct Play,4
U13,Middle,Dribble,30,17,26.0,29.0,Seacoast,U13,Direct Play,4
U13,End,Direct Play,26,29,,,Seacoast,U13,Direct Play,4
Seacoast,Start,Pass,37,30,30.0,36.0,Seacoast,U13,"Counterpress, Direct Play, Throw In",5
Seacoast,Middle,Pass,30,36,26.0,60.0,Seacoast,U13,"Counterpress, Direct Play, Throw In",5
Seacoast,End,Counterpress,26,60,25.0,61.0,Seacoast,U13,"Counterpress, Direct Play, Throw In",5
Seacoast,End,Direct Play,25,61,25.0,61.0,Seacoast,U13,"Direct Play, Throw In",5
Seacoast,End,Throw In,25,61,,,Seacoast,U13,Throw In,5
Seacoast,Start,Pass,31,85,17.0,61.0,Seacoast,U13,Free Kick,6
Seacoast,End,Free Kick,17,61,,,Seacoast,U13,Free Kick,6
Seacoast,Start,Dribble,61,50,75.0,47.0,Seacoast,U13,Press,7
Seacoast,End,Press,75,47,,,Seacoast,U13,Press,7
Cedar Stars,Start,Dribble,75,50,84.0,45.0,Cedar Stars,U13,Press,8
Cedar Stars,End,Press,84,45,,,Cedar Stars,U13,Press,8
Cedar Stars,Start,Dribble,91,15,95.0,29.0,Cedar Stars,U13,"Sustained Possession, Cutback",9
Cedar Stars,Middle,Pass,95,29,90.0,41.0,Cedar Stars,U13,"Sustained Possession, Cutback",9
Cedar Stars,End,Sustained Possession,90,41,91.0,42.0,Cedar Stars,U13,"Sustained Possession, Cutback",9
Cedar Stars,End,Cutback,91,42,,,Cedar Stars,U13,Cutback,9
Cedar Stars,Start,Dribble,15,16,5.0,25.0,Cedar Stars,U13,Press,10
Cedar Stars,Middle,Pass,5,25,8.0,41.0,Cedar Stars,U13,Press,10
Cedar Stars,End,Press,8,41,,,Cedar Stars,U13,Press,10
Westchester,Start,Pass,61,50,51.0,50.0,Westchester,U13,Counterattack,11
Westchester,Middle,Pass,51,50,25.0,31.0,Westchester,U13,Counterattack,11
Westchester,Middle,Dribble,25,31,15.0,34.0,Westchester,U13,Counterattack,11
Westchester,End,Counterattack,15,34,,,Westchester,U13,Counterattack,11
Westchester,Start,Pass,39,64,43.0,49.0,Westchester,U13,Counterpress,12
Westchester,Middle,Dribble,43,49,35.0,55.0,Westchester,U13,Counterpress,12
Westchester,End,Counterpress,35,55,,,Westchester,U13,Counterpress,12
Westchester,Solo,Counterpress,84,46,25.0,84.0,Westchester,U13,Counterpress,1044
U13,Start,Pass,25,84,28.0,74.0,New York SC,U13,Throw In,13
U13,End,Throw In,28,74,,,New York SC,U13,Throw In,13
New York SC,Start,Pass,70,9,80.0,6.0,New York SC,U13,Direct Play,14
